التاريخ,القسم,المبلغ,ملاحظات
2025-12-25,سلف,2715.0,رامي
2025-12-25,سلف,400.0,محمد
2025-12-25,موصلات,1120.0,لحد يوم 24
2025-12-1,فيزا,1035.0,
2025-12-1,كاش,1695.0,
2025-12-2,فيزا,170.0,
2025-12-2,كاش,1080.0,
2025-12-3,فيزا,215.0,
2025-12-3,كاش,805.0,
2025-12-4,فيزا,2135.0,
2025-12-4,كاش,2400.0,
2025-12-5,فيزا,4005.0,
2025-12-5,كاش,4420.0,
2025-12-6,فيزا,1585.0,
2025-12-6,كاش,2490.0,
2025-12-7,فيزا,95.0,
2025-12-7,كاش,325.0,
2025-12-8,كاش,225.0,
2025-12-9,كاش,740.0,
2025-12-10,فيزا,650.0,
2025-12-10,كاش,415.0,
2025-12-11,فيزا,2057.5,
2025-12-11,كاش,1620.0,
2025-12-12,فيزا,1395.0,
2025-12-12,كاش,2310.0,
2025-12-13,فيزا,1390.0,
2025-12-13,كاش,1335.0,
2025-12-14,فيزا,235.0,
2025-12-14,كاش,1180.0,
2025-12-15,كاش,685.0,
2025-12-16,فيزا,945.0,
2025-12-16,كاش,1330.0,
2025-12-17,فيزا,2035.0,
2025-12-17,كاش,1070.0,
2025-12-18,فيزا,942.5,
2025-12-18,كاش,975.0,
2025-12-19,فيزا,1335.0,
2025-12-19,كاش,1250.0,
2025-12-20,فيزا,1555.0,
2025-12-20,كاش,2645.0,
2025-12-21,كاش,335.0,
2025-12-22,فيزا,365.0,
2025-12-22,كاش,2585.0,
2025-12-23,فيزا,200.0,
2025-12-23,كاش,2860.0,
2025-12-24,فيزا,715.0,
2025-12-24,كاش,2460.0,
2025-12-25,فيزا,1285.0,
2025-12-25,كاش,2350.0,
